Species,EPU,sex,YEAR,MeanCond,nCond,n
Acadian Redfish,SS,F,1992,99.76148314868433,52,27
Acadian Redfish,SS,F,1993,101.6787152671137,39,27
Acadian Redfish,SS,F,1994,99.36542839004018,69,27
Acadian Redfish,SS,F,1995,98.92474323395776,49,27
Acadian Redfish,SS,F,1996,102.62157440564816,23,27
Acadian Redfish,SS,F,1997,100.00885947146759,33,27
Acadian Redfish,SS,F,1998,103.61181192507618,62,27
Acadian Redfish,SS,F,1999,99.78608605678535,45,27
Acadian Redfish,SS,F,2000,98.63743418420408,44,27
Acadian Redfish,SS,F,2001,99.19023973942895,47,27
Acadian Redfish,SS,F,2002,96.88777761823127,30,27
Acadian Redfish,SS,F,2003,97.86121723768913,51,27
Acadian Redfish,SS,F,2004,99.88394538618373,85,27
Acadian Redfish,SS,F,2005,98.72749366448258,27,27
Acadian Redfish,SS,F,2006,99.23305597512116,32,27
Acadian Redfish,SS,F,2007,99.30061542777493,41,27
Acadian Redfish,SS,F,2008,96.95416960544841,72,27
Acadian Redfish,SS,F,2009,98.99945848008507,102,27
Acadian Redfish,SS,F,2010,95.92479997002236,49,27
Acadian Redfish,SS,F,2011,100.85007803836056,25,27
Acadian Redfish,SS,F,2012,98.84294701367685,69,27
Acadian Redfish,SS,F,2013,100.22152600573683,85,27
Acadian Redfish,SS,F,2014,100.18327474436404,48,27
Acadian Redfish,SS,F,2015,100.13900385172533,81,27
Acadian Redfish,SS,F,2016,99.08125050228111,93,27
Acadian Redfish,SS,F,2017,97.37238259587922,28,27
Acadian Redfish,SS,F,2018,97.43739408624398,11,27
Acadian Redfish,SS,M,1992,101.57196544858033,35,27
Acadian Redfish,SS,M,1993,103.55912200861877,37,27
Acadian Redfish,SS,M,1994,102.11683507550354,57,27
Acadian Redfish,SS,M,1995,100.33287299779364,44,27
Acadian Redfish,SS,M,1996,104.0696529360061,34,27
Acadian Redfish,SS,M,1997,101.1062777767466,36,27
Acadian Redfish,SS,M,1998,103.77856143496412,39,27
Acadian Redfish,SS,M,1999,103.63953601552582,25,27
