Year,GB,GOM,SS,MAB
1977,NaN,NaN,NaN,NaN
1978,-1.404567938,-0.690174701,-0.981059442,-1.736549692
1979,-0.633187096,-0.553349798,0.406606246,-1.048869395
1980,-0.358047245,-0.952397148,-0.177611124,-0.675726071
1981,-0.067538035,-1.19512403,-0.459886922,-0.77324885
1982,-0.250266079,-0.519434453,-0.724053306,-0.737034298
1983,-0.409812711,-0.545310842,-0.419376595,-0.274082751
1984,-0.071299183,-0.063115012,-0.344527158,-0.7529012
1985,0.562544899,0.094746903,0.583116803,1.042764821
1986,0.055210727,-0.038699022,0.428545387,1.806247308
1987,-0.551192497,-1.191888287,-0.761804848,-0.284227658
1988,NaN,NaN,NaN,-0.201317857
1989,NaN,NaN,NaN,-0.6454127
1990,-0.058913668,NaN,-0.632249924,NaN
1991,0.293539844,-0.164367785,-0.455737654,1.00166694
1992,-1.475850988,-0.036857892,-0.186233366,-0.470257165
1993,-0.567968403,-0.968333839,-0.774851819,-1.324629462
1994,0.679666329,0.065290995,0.979869448,0.534294969
1995,0.406548485,0.408072312,0.423808494,1.154486907
1996,-0.598766059,0.107649732,0.00679574,-1.356627671
1997,-0.413032789,0.437097479,-0.071231326,0.929050575
1998,-0.322856687,-0.144304044,-1.666163612,-0.138285186
1999,0.494720469,-0.217436377,0.261142826,0.602925138
2000,1.286302967,0.410572974,0.768556405,0.964522962
2001,0.046047671,0.265948282,-0.572695246,0.013315604
2002,1.182829995,0.605609855,0.520490777,1.820743127
2003,-0.261043859,-0.562143512,-0.297546084,-1.074259694
2004,-1.17707021,-1.227058376,-0.962368175,-1.586309439
2005,-0.832901178,-0.512643066,-0.823888808,-0.491321522
2006,0.047944531,0.59070501,0.659203059,1.462684515
2007,-0.540241965,-0.341834362,-0.857819837,-0.113415763
2008,0.071295867,-0.239193098,-0.588388691,0.977962496
2009,-0.00318585,-0.41802958,-0.47761229,-0.375958717
2010,0.687225019,0.515119702,0.956837975,-0.5193777
2011,0.180219164,1.078492101,0.683568656,-0.068966375
2012,1.807562508,1.271644796,0.715218819,2.4718444
2013,0.954907417,0.685529684,0.821160722,0.500484459
2014,0.26099226,0.004650152,0.580154888,-0.543986209
2015,-0.115204397,-0.378073159,0.228646792,-0.271737362
2016,1.083200845,0.855611481,1.29843793,1.670844127
2017,0.298507183,0.606293336,0.777329842,0.257052929
2018,0.44265331,0.621000508,1.248156781,-0.061725121
