Year,GB,GOM,SS,MAB
1977,-0.527663065,-0.830885519,-0.177049613,-1.213244755
1978,-0.681108365,-0.460771841,-0.305024631,-1.594870738
1979,-0.037442186,-0.319994247,0.453616473,-0.221496642
1980,-0.136642253,-0.831249267,-0.076679544,-1.028728463
1981,NaN,NaN,NaN,NaN
1982,0.598557152,0.347190505,-0.373692152,-1.822794877
1983,NaN,-0.442992468,NaN,NaN
1984,NaN,NaN,NaN,NaN
1985,-0.130048941,0.427310376,0.818470606,0.58909517
1986,-0.341956479,0.534554862,0.849158998,1.013596214
1987,-1.452578192,-0.642642162,-0.556301404,-0.634564185
1988,NaN,NaN,NaN,NaN
1989,NaN,NaN,NaN,4.446092784
1990,NaN,NaN,NaN,NaN
1991,-0.813046554,-0.315204006,-0.079511609,-0.777806858
1992,-0.959841833,-1.264130675,-0.228423492,-1.651726905
1993,-0.785818897,-0.598556224,0.018748703,-1.995654418
1994,0.827611737,0.93981923,1.137874525,-0.248303111
1995,0.08523059,0.430978041,0.45200978,0.851620517
1996,-1.38279283,-0.257512594,-0.869269435,-1.58699524
1997,0.687131113,0.150199462,-0.255057663,0.377506877
1998,-0.266218653,-0.814988424,-1.742564876,-1.018718563
1999,1.521001738,0.521074017,1.03308785,1.275107162
2000,0.21982813,0.494015405,0.456306498,1.051118616
2001,-0.052195382,-0.041040332,-0.812846971,-0.794133959
2002,0.959601137,0.828144472,0.637847993,1.118485861
2003,-0.874273029,-0.374899438,-0.046167724,-0.615075471
2004,-1.675188002,-1.251530458,-1.220865232,-1.629649232
2005,-1.009363433,-0.107095432,-0.381960543,-0.314741527
2006,0.324852323,0.639671971,0.287812398,1.024930876
2007,-0.887310528,-0.312255011,-0.857636057,-0.235836481
2008,0.023716864,-0.314518748,-0.708941736,-0.018163588
2009,-0.333297608,-0.527718214,-0.83411606,0.413612035
2010,0.415832456,0.94660954,0.421506668,0.057671582
2011,-0.106293794,0.904791116,0.407811254,0.19116513
2012,1.126482,1.179786521,1.15405754,0.508136005
2013,0.802188493,1.138859146,0.754423985,-0.035424725
2014,1.112578479,0.612966477,1.31230268,0.697697243
2015,-0.310873807,NaN,NaN,0.720833973
2016,1.083396607,0.523343771,0.668059308,1.248229014
2017,NaN,NaN,NaN,NaN
2018,1.211635875,0.97897834,1.579716445,0.26359761
2019,1.556134546,1.051828262,1.180648977,0.183444289
