Year,GB,GOM,SS,MAB
1977,NA,NA,NA,NA
1978,-1.844488985,-0.959975159,-1.198099105,-1.993170339
1979,-1.28554094,-1.972771096,NA,-2.140382271
1980,-0.819078732,-0.904270337,-0.486758736,-0.998478586
1981,-0.423695502,-1.399531155,-0.326331545,-0.778037114
1982,-1.158039775,-0.369847778,-1.673151007,-1.009808915
1983,1.041614332,-0.524225836,-0.429387318,0.694752504
1984,-0.663441174,-0.366904823,-0.562453763,-0.402591632
1985,0.680658908,0.626473282,0.896762543,-0.270015031
1986,0.366192016,-0.204691566,0.132478249,0.668502172
1987,-0.083663357,-0.295744584,-0.337126172,0.162226941
1988,NA,NA,NA,-1.341390694
1989,-1.410884848,-0.665808246,-0.833804841,-2.363583547
1990,-1.222145709,-1.299860806,-0.86735903,-0.819572916
1991,0.123822205,-0.466008914,-0.439963473,1.255227561
1992,-0.420502746,-0.329903864,-1.010976834,-0.358340466
1993,-0.663270662,-0.504943454,-0.273478687,-0.784642517
1994,-0.361113387,-1.261950606,0.08910689,-0.870979265
1995,0.492699462,0.397034074,-0.029507275,0.558603476
1996,-0.560729937,-0.210445533,0.404475418,-1.316972446
1997,-0.401999888,0.241596962,-0.371366541,0.862107311
1998,-0.625252618,-0.165283447,-1.109182662,-0.336720557
1999,0.675773761,-0.651629935,-0.242661285,1.273990758
2000,0.913621547,NA,NA,0.438811808
2001,0.459419126,NA,0.088456811,-0.216975132
2002,1.062905446,0.141933363,-0.006533761,1.790219467
2003,-1.163480682,-0.086462224,-0.253474581,-1.278844631
2004,-1.446827276,-0.063889531,0.012614764,-1.597645877
2005,-1.149840702,-1.665727381,-1.142292879,-0.705349508
2006,0.860543842,0.269442777,0.397948465,1.360001207
2007,-0.165544157,0.623570982,0.350655736,0.891009759
2008,-0.157136742,-0.495745642,-0.426372722,0.418133883
2009,-0.390842362,-0.503103607,-0.755738581,-0.015369025
2010,-0.021196684,-0.171072071,0.111923995,-1.018590804
2011,0.329045039,1.01570219,0.313018301,-1.160735209
2012,1.689219181,0.955032222,0.354945923,2.508258205
2013,1.146808926,0.819530997,1.057421245,0.835042215
2014,0.261480224,0.294039215,0.845687526,-0.579317953
2015,NA,NA,NA,-1.728110072
2016,NA,NA,NA,NA
2017,1.05280585,1.058725759,1.036824002,0.902813906
2018,NA,NA,NA,-0.176923695
2019,NA,NA,NA,0.193505215
2020,1.784527793,NA,NA,1.95144115
2021,-0.134453744,NA,NA,1.327869087
