Year,EPU,ZooplMeanVol100m3,ZooplBiomassLogMean,ZooplBiomassAnomaly
1977,MAB,42.218766,1.625505535,0.315007915
1978,MAB,38.03914684,1.580230768,-0.292892266
1979,MAB,36.04282402,1.556818811,-0.607242473
1980,MAB,42.07094871,1.623982306,0.294555648
1981,MAB,41.33198056,1.616286216,0.19122096
1982,MAB,35.95873589,1.555804416,-0.620862668
1983,MAB,38.62173695,1.586831802,-0.204260787
1984,MAB,34.76849836,1.541185934,-0.817143693
1985,MAB,34.41956817,1.536805417,-0.875960492
1986,MAB,35.09649,1.545263685,-0.762392105
1987,MAB,42.78393583,1.631280734,0.392550984
1988,MAB,38.32023707,1.583428187,-0.249960807
1989,MAB,25.10838614,1.399818799,-2.715267342
1990,MAB,33.21656764,1.521354754,-1.083415147
1991,MAB,36.63867186,1.563939722,-0.511630651
1992,MAB,38.76422474,1.588431103,-0.182787115
1993,MAB,48.64195128,1.687010988,1.140836033
1994,MAB,43.11477945,1.634626169,0.437469831
1995,MAB,33.20055801,1.521145383,-1.086226345
1996,MAB,50.58813075,1.704048632,1.369598926
1997,MAB,39.2012159,1.593299538,-0.117419083
1998,MAB,49.37424929,1.693500505,1.227970187
1999,MAB,31.92021833,1.504065853,-1.315551638
2000,MAB,39.40131351,1.5955107,-0.087730008
2001,MAB,48.74591563,1.687938232,1.153286054
2002,MAB,45.04294098,1.653626739,0.692588757
2003,MAB,47.89133099,1.680256907,1.050149598
2004,MAB,58.30146298,1.765679453,2.197110341
2005,MAB,42.00463807,1.623297247,0.285357429
2006,MAB,48.40530309,1.684892944,1.112397241
2007,MAB,48.33189709,1.684233842,1.103547542
2008,MAB,45.38657926,1.656927452,0.736907124
2009,MAB,41.88131995,1.622020361,0.268212793
2010,MAB,29.89636895,1.475618444,-1.697512406
2011,MAB,38.78303245,1.588641764,-0.17995859
2012,MAB,32.94094857,1.517736101,-1.132002465
2013,MAB,43.82351748,1.641707233,0.532546636
2014,MAB,52.40263247,1.719353104,1.57509068
2015,MAB,35.3550745,1.548451757,-0.719586154
2016,MAB,42.84606559,1.631910948,0.401012811
2017,MAB,32.46085023,1.511359891,-1.217615258
1977,GB,58.95868523,1.77054779,1.368722155
1978,GB,44.87543902,1.65200871,0.207494889
1979,GB,57.06152222,1.756343353,1.229573279
1980,GB,36.27794133,1.559642634,-0.697337563
1981,GB,31.77790697,1.502125289,-1.26078642
1982,GB,27.58969521,1.440746903,-1.862058643
1983,GB,39.80917374,1.599983164,-0.30215546
1984,GB,35.24124221,1.547051208,-0.820685129
1985,GB,44.36241493,1.64701518,0.158577484
1986,GB,37.01245,1.568347834,-0.612060074
1987,GB,40.29700293,1.605272747,-0.25033788
1988,GB,41.96011254,1.622836644,-0.078279208
1989,GB,45.78825111,1.660754056,0.293165654
1990,GB,60.36056884,1.780753324,1.468697151
1991,GB,33.17884581,1.520861274,-1.077245798
1992,GB,43.93590673,1.642819594,0.117476872
1993,GB,50.61963441,1.704319004,0.719934665
1994,GB,44.25518455,1.645964156,0.148281496
1995,GB,33.52187845,1.525328347,-1.033485658
1996,GB,43.60927987,1.639578915,0.08573068
1997,GB,40.71031533,1.609704466,-0.206924067
1998,GB,41.0922489,1.61375991,-0.167196309
1999,GB,36.04022232,1.556787461,-0.72530728
2000,GB,40.98944273,1.612672014,-0.177853509
2001,GB,44.95695544,1.652796892,0.215216042
2002,GB,43.72332725,1.640713203,0.096842345
2003,GB,50.81525735,1.705994129,0.736344451
2004,GB,107.8057024,2.032641733,3.936235195
2005,GB,44.36772816,1.647067191,0.159086999
2006,GB,48.33341569,1.684247487,0.523310964
2007,GB,45.62608101,1.659213167,0.278070869
2008,GB,36.59509199,1.563422843,-0.660306047
2009,GB,56.09720126,1.748941194,1.157060582
2010,GB,47.88320843,1.680183243,0.483496991
2011,GB,50.10984497,1.699923059,0.676871303
2012,GB,34.50662741,1.537902515,-0.910307156
2013,GB,37.81369554,1.577649123,-0.520943196
2014,GB,34.97644521,1.543775668,-0.852772827
2015,GB,48.25771892,1.683566789,0.516642741
2016,GB,35.56505739,1.551023514,-0.781771806
2017,GB,29.48762916,1.469639856,-1.579018776
1977,GOM,46.22575,1.664883966,1.349857158
1978,GOM,30.88468381,1.48974316,-0.121445793
1979,GOM,41.61467145,1.61924647,0.966470876
