Year,Season,EPU,volume_1m2,SmCalanoida,LgCalanoida,Bryozoa,Chaetognatha,Cirripedia,Cnidaria,Cyclopoida,Decapoda,Polychaeta,Diplostraca,Echinodermata,Euphausiacea,Gammaridea,Hyperiidea,Mollusca,Mysidacea,Ostracoda,Protozoa,Thecosomata,Tunicata
1977,1,1,11.22272727,244649.165,12567.58136,0,14812.86864,78.86272727,0,5829.74,551.3286364,620.6277273,0,215.0186364,532.0886364,739.4559091,2148.245,206.6422727,993.8463636,3807.912273,179.1822727,110.3854545,36.13727273
1978,1,1,2.419189189,92247.14158,3033.603684,0,4850.962368,217.6097368,10.66973684,407.3889474,78.60578947,536.1068421,2.941578947,0,33.59973684,974.6381579,868.1384211,947.7042105,19.27368421,8.808421053,0,153.4123684,32.81631579
1979,1,1,9.18255814,291171.5279,16155.57814,0,19738.70279,92.34930233,1352.770465,19001.51279,262.1204651,402.8674419,5174.998837,2156.675814,2279.143721,106.4827907,639.2055814,16495.14326,308.3344186,345.2709302,3311.412326,14423.31535,4299.652326
1980,1,1,12.3155,543320.649,32578.6235,0,7271.6885,219.79275,509.20125,20084.79325,759.07925,550.998,1200.08775,37.74175,1671.953,497.85875,5736.328,19433.259,1850.74325,835.04725,6751.662,1596.0155,3632.44925
1981,1,1,20.15333333,119343.3742,21902.9975,0,13610.75333,0,33.8,3669.863333,561.0816667,409.0608333,0,0,68.98,209.6058333,890.6125,19648.17917,1895.305833,16.96,4622.13,17758.43167,33.91916667
1982,1,1,11.90525424,351523.0905,50396.15644,0,11620.17559,12.38186441,273.9305085,9954.89661,276.5945763,205.8328814,3003.582203,320.6098305,3052.238644,220.4498305,4168.276102,53428.07153,1802.192881,1197.925932,5106.058814,28715.2978,519.5533898
1983,1,1,6.694067797,113028.9866,22904.02898,0,9828.444576,1320.51661,346.0732203,3618.829153,402.3479661,309.2,173.9791525,399.1328814,642.5094915,38.58898305,1008.087966,11462.28441,285.8655932,3.904067797,4014.059492,10640.03814,2535.259322
1984,1,1,6.481857143,237198.3154,20438.80871,0,4455.877714,400.9812857,0,1834.607857,350.7138571,124.0871429,8.158571429,1.144142857,486.9582857,110.948,355.5327143,12645.871,960.1072857,0.683571429,1352.684714,11267.73714,232.4938571
1985,1,1,5.243125,150051.7798,7590.86725,0,4066.368375,103.41075,641.380875,3586.689875,125.582125,173.802875,617.782875,19.068,686.51425,92.700125,3485.370625,1253.0155,536.84025,155.391875,2483.78325,450.048375,142.84225
1986,1,1,9.393424658,95725.32603,58664.03753,0,9883.135068,659.9049315,265.4553425,6924.772055,1047.241507,329.4293151,171.9371233,33.97986301,1355.75274,85.27013699,4454.248767,35982.30836,307.1909589,3228.835205,1272.41274,32174.41589,2156.435616
1987,1,1,5.909452055,135473.6607,14009.08712,49.11260274,10093.24808,185.5491781,458.2983562,2242.11726,134.1094521,394.9847945,115.8583562,160.5015068,1211.10137,149.68,2664.264384,3896.285342,151.6547945,421.0553425,332.2810959,1907.514521,2014.88274
1988,1,1,8.284150943,224675.5962,19327.71925,0,5059.592075,430.2513208,102.0258491,2691.708868,116.3518868,94.17981132,1144.878868,38.50018868,286.0364151,27.67415094,7043.163585,19456.55151,206.0903774,12.83962264,5.265471698,19372.64604,3643.499434
1989,1,1,9.115,466950.739,13758.906,0,11100.992,412.746,0,1832.095,67.487,0,56.038,0,33.744,334.019,656.3,1286.485,491.765,178.992,0,459.64,0
1990,1,1,36.02628571,475967.212,23582.44257,460.4265714,1635.446,2881.471714,1204.848,47779.58857,314.9054286,832.1462857,708.3582857,0,551.5725714,378.4017143,1703.584571,32699.38486,217.368,140.7434286,1758.834857,32003.43029,94016.22171
1991,1,1,13.23378788,349997.9306,29621.0447,715.6516667,6941.486364,917.2306061,438.3298485,13825.51788,155.5072727,294.3806061,618.6983333,44.05212121,480.6145455,404.6686364,2953.360909,39062.45712,375.7648485,215.1159091,567.290303,37347.81348,3602.069848
1992,1,1,10.5744898,212188.0929,21660.5198,1199.775918,6206.185714,4477.550612,860.7387755,9352.466327,218.7683673,340.4097959,44.84857143,80.04102041,1432.750204,368.9795918,5179.602041,8598.272857,301.6222449,277.8983673,76.03183673,7902.926122,4048.978367
1993,1,1,12.68794643,181239.696,26673.00134,1029.996518,7115.644911,671.3024107,1099.708214,10858.67661,89.111875,154.7629464,17.74526786,1905.901429,989.6302679,77.06053571,4340.526429,7535.276161,200.7634821,195.3150893,3456.463482,6786.837768,22334.2475
1994,1,1,10.14714286,202328.2529,17138.52619,307.77,9700.89619,2639.274286,14.45809524,9405.574762,259.2647619,84.75190476,8242.028571,0,881.3909524,257.35,9157.639048,14208.42714,384.9680952,507.077619,254.6528571,13231.36857,1924.9
1995,1,1,9.824,222796.5483,9678.1775,148.6465,14257.68725,633.89275,198.7035,3509.09475,104.2295,65.99,32.0785,935.267,2026.64925,134.62525,8651.9515,30328.6015,9.66925,129.26875,3036.52025,29867.768,552.5515
1996,1,1,7.097209302,221856.5214,31590.16209,503.14,3397.409767,193.6648837,186.7748837,5548.506977,177.9681395,205.5432558,2.026976744,268.644186,792.6272093,81.40186047,524.4786047,7304.072791,187.4897674,122.2851163,582.6802326,7141.951628,16932.61744
1997,1,1,10.07195122,319593.5112,15265.85049,583.2168293,3394.510732,2285.820244,86.66390244,35230.36293,229.0090244,319.607561,1681.152683,435.6121951,1468.86878,48.31902439,3333.529512,94847.57537,213.9734146,75.16390244,5376.610732,94283.43122,21470.73146
1998,1,1,7.52,47519.89,33860.33,192.39,3462.99,0,0,2308.66,192.39,192.39,0,0,192.39,0,769.55,1539.11,0,192.39,0,1346.72,1731.49
1999,1,1,6.907391304,298491.2015,31582.17457,204.7665217,14079.92087,203.2071739,875.1656522,16850.69478,224.6213043,194.2797826,132.6713043,0,1816.368696,72.23456522,10882.09152,52227.57913,26.2773913,74.67195652,3670.143043,50794.26957,2199.383478
2000,1,1,6.565142857,233630.4346,26041.36,192.6885714,7910.254571,90.37342857,604.0125714,5621.887714,17764.964,112.428,11.64171429,52.83171429,2962.470286,42.314,3718.951714,9218.586286,31.91428571,266.2902857,5312.116857,6923.782857,4141.269714
2001,1,1,9.89,329264.187,17694.93,5750.356415,15263.27755,4652.803585,3400.246415,25030.29849,246.6250943,227.1856604,78.56622642,468.3250943,1479.872642,14.52641509,4438.478302,68623.03208,307.8977358,234.745283,14102.3417,68336.05736,12477.65585
2002,1,1,11.68125,669022.1916,77569.08036,808.8596429,13331.79089,2648.135893,485.9758929,21159.82268,176.5260714,374.9003571,0,111.1066071,5106.626786,61.47303571,12211.63661,6884.6875,10.05285714,284.0108929,2236.798214,2502.970536,3969.535357
2003,1,1,5.995769231,239205.1646,15095.95654,20.11,11767.51346,177.6834615,190.2742308,5102.148462,14.76269231,84.46038462,0,0,303.5388462,236.9130769,1443.136154,1007.54,3.730769231,15.10769231,140.5142308,945.0711538,473.8184615
2004,1,1,12.30076923,529750.5242,63247.33231,130.3753846,11774.56385,1015.106538,317.9973077,7078.760769,34.91230769,158.3696154,750.3134615,1307.753462,1040.814231,74.805,3480.073462,162170.0685,0,22.79192308,382.1103846,161546.4412,6625.462308
2005,1,1,7.550769231,186163.5118,45388.22308,474.3810256,3573.221538,186.9505128,134.5653846,3832.262821,92.72538462,294.2787179,0,47.42205128,134.5235897,28.38538462,1221.735641,6873.633846,42.71538462,23.08,93.17153846,6374.031795,53887.21154
2006,1,1,13.23166667,350550.4363,68900.20646,0,21517.72188,259.91,37.99354167,4227.890417,207.2691667,35.59208333,0,184.01375,426.8833333,72.83541667,11302.26667,8204.724167,258.91125,65.661875,159.123125,7706.2275,3259.008333
