RecruitmentYear,SSB,R1,R1/SSB,log(R1/SSB),BaseMagnitude,BaseDuration,RangeMagnitude,RangeDuration,Range_n
1999,6.53,1.85,0.28,-0.55,,,7.57,4,3
2000,15.04,10.01,0.67,-0.18,14.13,8,13.96,7.89,27
2001,4.89,0.16,0.03,-1.49,,,11.43,6,12
2002,18.5,0.08,0.01,-2.34,8.38,4,8.92,4.33,27
2003,15.61,112.01,7.17,0.86,10.23,5,12.98,6.7,27
2004,33.2,0.81,0.02,-1.61,,,7.26,5,6
2005,11.37,1.99,0.18,-0.76,10.41,7,10.06,6.75,24
2006,14.66,0.87,0.06,-1.23,,,7.16,5,9
2007,31.01,1.84,0.06,-1.23,11.71,6,12.67,6.56,18
2008,23.26,1.49,0.06,-1.19,,,9.13,5,9
2009,19.54,0.41,0.02,-1.68,,,6.16,4,6
2010,31.47,57.89,1.84,0.27,,,,,
2011,9.45,18.7,1.98,0.3,10.74,5,10.35,4.78,27
2012,11.97,3.15,0.26,-0.58,11.25,5,11.25,5,18
2013,19.81,602.33,30.41,1.48,15.23,7,15.18,7,27
2014,44.29,17.47,0.39,-0.4,7.96,5,7.5,4.68,19
2015,41.98,15.76,0.38,-0.43,22.96,13,17.52,9.63,24
2016,40.44,19.07,0.47,-0.33,11.4,7,11.38,7,25
2017,50.52,1.72,0.03,-1.47,8.55,6,8.7,6.13,24
2018,34.66,0.8,0.02,-1.64,,,,,
