year,season,sfc_temp,sfc_salt,btm_temp,btm_salt,volume_100m3,ctyp_100m3,calfin_100m3,pseudo_100m3,tlong_100m3,cham_100m3,echino_100m3,larvaceans_100m3,para_100m3,gas_100m3,acarspp_100m3,mlucens_100m3,evadnespp_100m3,oithspp_100m3,chaeto_100m3,hyper_100m3,calminor_100m3,clauso,dec_100m3,euph_100m3,poly_100m3,fish_100m3,siph_100m3,coel_100m3,euph1_100m3,thecos_100m3,spirspp_100m3
1977,Fall,-0.847225106,0.247705368,-1.07691797,0.490801994,59.26,0.280081874,0.637268556,0.893332134,-0.471356533,-0.370571959,-0.273884406,-0.942335973,0.173174415,-1.275256595,-0.214808724,0.013260485,-0.568687358,-1.737417308,-0.25113065,-0.602457108,0.494039213,-1.977222826,-0.171613242,-0.276234567,-0.432863124,-0.014894055,-1.289514651,-0.261358536,-0.785423925,-0.590281765,-0.392980784
1977,Spring,NA,NA,NA,NA,22.039,-1.061118689,-0.259869235,-0.291129867,-0.440161116,-0.218848778,-0.896605641,-1.527444369,-0.300639626,-0.991992738,-0.214461805,-0.243342783,-0.176905335,-0.475915656,0.733322019,-0.237418893,0.07474795,-0.501342467,-0.224259471,0.099863935,-0.621950793,-0.081508948,-0.678430398,-0.186562804,-0.81793828,-0.371708614,-0.751617906
1977,Summer,-0.626610546,0.101965416,-0.711014712,0.390897358,56.60767123,-0.872955814,0.337277355,0.287873003,-0.852413444,-0.432165667,-0.723750835,-1.095619568,-0.460654098,-1.216505989,-0.468146701,0.175317051,-0.491316543,-1.089303705,-0.112452109,-0.475060363,0.0080117,-0.603087435,-0.287642301,-0.76400617,-0.479429995,-0.133709942,-0.786230651,-0.266373341,-0.934230388,-0.367027713,-0.362913951
1977,Winter,NA,NA,NA,NA,48.495,0.561276819,0.23829442,1.389231464,-0.248545019,-0.820505991,-0.313927793,-0.99291089,0.465800459,-1.646149972,0.500864303,0.411142945,-0.6582652,-1.368138243,-0.132320361,-0.670355186,0.582133357,-2.198613321,-0.201696031,-0.128129713,-0.458820926,-0.209292003,-1.30811585,-0.185757418,0.115950979,-0.853141474,-0.532357159
1978,Fall,-1.367805771,0.225203145,-0.765697286,0.339469118,28.960625,0.28873693,-0.038644113,0.771849504,-0.68408362,0.028610731,-0.244791065,-0.855890785,-0.712646034,-1.012053945,-0.144795432,-0.235889118,-0.423156899,-1.303478155,-0.615017504,-0.244665602,-0.110209891,-1.495722513,-0.161359057,-0.365365949,-0.345643376,-0.198398734,-0.907107432,-0.283073753,-0.481407542,-0.35192324,-0.388696859
1978,Spring,-1.149940694,-0.290454502,0.429473096,0.331311604,19.02875,-1.392002998,0.072410356,-0.555863538,-0.377440497,-0.259736704,-0.298563336,-1.123257007,-0.356969123,-1.173466787,-0.323527099,-0.410543151,-0.097875879,-1.341031873,-0.353069848,0.404487774,0.026840151,-0.680551898,-0.235331319,-0.068981954,-0.584873463,-0.024961846,-0.740402294,-0.209553559,-0.830420543,-0.392840284,-0.653041246
1978,Summer,-0.855741524,-0.00741668,-0.244589172,0.228734361,42.57269231,-1.18980971,0.167429618,-0.114766475,-0.95580976,-0.428781467,-0.507440083,-0.910630774,-0.097368754,-1.337898862,-0.695929227,-0.231826883,-0.421100415,-1.253338239,-0.527401247,0.304875979,-0.013127465,-0.460233823,-0.385293688,-0.825134692,-0.541960436,-0.118974648,-0.73343135,-0.20360829,-0.92613745,-0.424985027,-0.514401662
1979,Fall,-0.890902056,0.056911183,-0.680578581,0.131196062,36.72052941,-0.064669299,-0.096932325,0.144982934,-0.483755279,-0.367231391,0.196541735,0.659631063,-0.106972534,1.277171716,-0.234138472,1.100865093,-0.059359713,-0.347496242,0.301092418,-0.249059084,-0.106149017,0.145742315,-0.02901228,0.523972132,0.167641928,-0.001493819,1.773241712,-0.220132264,0.235993963,-0.283880986,1.408079663
1979,Spring,-0.160554221,0.15861382,-0.581274294,0.054663061,49.89764706,1.278808203,0.166763217,0.496025746,-0.37114451,-0.196878325,-0.876064325,0.774105338,0.15054812,1.48582956,0.374336697,0.908620074,-0.080960986,0.539606758,0.053605264,1.142252677,-0.006404793,-0.059537546,0.267027276,1.059599854,0.070948464,-0.183430922,-0.01950076,-0.188094378,1.209838948,-0.439863298,2.064980866
1979,Summer,0.092914767,0.064560567,-0.28434996,0.243104299,51.31947368,0.799408357,0.068406314,0.335009532,-0.533350004,-0.220511585,0.431441854,-0.653433598,0.076147298,1.432126258,-0.241579532,0.825933128,-0.466837111,-0.966784805,0.471170122,0.848366174,-0.01773183,-0.025978001,-0.13528336,-0.229375468,-0.155093012,0.173663806,0.000591835,-0.277199107,-0.285987988,-0.355990406,0.769588451
1979,Winter,-1.02531052,0.80032662,0.618310225,0.737080768,20.44571429,-0.632842689,-0.263822443,-1.030255305,-1.185832496,-0.817712644,-0.175626315,0.07319536,-1.236554449,0.878436006,-0.686133403,0.933458809,0.133163872,-1.207898925,0.755171063,0.31054707,-0.25170881,-1.533970255,-0.196236446,0.162850087,0.155067029,-0.212698616,1.947542803,0.14180325,-0.443025099,-0.842188709,1.386788188
1980,Fall,-1.0128661,0.572931875,-0.371144243,-0.195907985,41.87594595,0.092874266,-0.063291664,-0.111004761,-0.087372544,-0.269010073,0.188713413,-0.0344737,-0.109700386,0.75424853,0.119243569,0.596868813,-0.044142404,-0.500665024,0.996067524,0.097735943,0.237740468,-0.057846096,-0.24343585,1.320815102,0.80426418,-0.025988994,1.98972707,-0.169354322,1.066081239,-0.31763662,0.176957258
1980,Spring,0.430215451,0.628866532,0.17903241,0.23928244,14.11111111,0.864993584,-0.205836946,0.230313763,-0.208823584,0.000388859,-0.251446656,-0.665347968,1.063646812,0.826833529,-0.189449656,0.975325515,-0.053635802,-0.780073593,0.505511416,0.471486522,-0.019257334,0.288499589,0.118806756,-0.878702817,-0.11050745,-0.088976924,0.137888132,-0.183237705,-0.736876498,-0.409261869,0.389862547
1980,Summer,0.368666805,0.656623281,-0.502503294,0.077406924,54.219375,0.228642543,0.034280106,0.038015526,-0.584116988,-0.191249305,-0.025785498,-0.242860581,0.032751321,0.300760244,0.025116083,0.531039423,-0.767344048,-0.927371848,0.058665312,-0.671442934,0.005443791,0.00852297,-0.123581506,0.333773313,-0.170597993,0.033391635,0.127998816,-0.105319153,0.410389812,-0.506770954,-0.00682418
1980,Winter,-2.306751685,0.530326524,-1.929529304,0.12759652,27.656,-0.047521201,0.06308543,0.075544304,-0.53579838,-0.798505135,-0.282473479,-0.651150797,0.414787373,0.386385669,-0.219771763,0.804549586,-0.600255994,-1.040671019,1.184417127,1.583954565,0.137183053,0.382394349,-0.159651892,0.853362871,0.223710658,0.006253614,0.898593398,-0.146229595,0.62747306,-0.746990975,0.611744631
