StockName,Stock,SVSPP,Survey,Strata
Alewife,Unit,33,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01351, 01352, 01360, 01370, 01380, 01390, 01400, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440, 03450, 03460, 03470, 03480, 03490, 03500, 03510, 03530, 03540, 03560, 03570, 03590, 03600, 03610, 03620, 03640, 03650, 03660, 03670, 03680, 03690, 03700, 03710, 03720, 03730, 03740, 03750, 03760, 03770, 03780, 03790, 03800, 03810, 03820, 03830, 03840, 03850, 03860, 03870, 03880, 03910, 03920"
Bluefish,Unit,135,NMFS fall BTS,"03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440, 03450, 03460"
Butterfish,Unit,131,NMFS fall BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01160, 01190, 01200, 01230, 01250, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440, 03450, 03460, 03560, 03590, 03600, 03610, 03640, 03650, 03660 "
"Cod, Atlantic - Georges Bank",GB,73,NMFS spring BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250"
"Cod, Atlantic - Gulf of Maine",GOM,73,NMFS spring BTS,"01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Dogfish, Smooth",Unit,13,NMFS fall BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440, 03450, 03460, 03550"
"Dogfish, Spiny",Unit,15,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01350, 01351, 01360, 01370, 01380, 01390, 01400, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Flounder, Plaice, American (Dab)",Unit,102,NMFS spring BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Flounder, Sand Dab (Windowpane) - Georges Bank/Gulf of Maine",N,108,NMFS fall BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01370, 01380, 01390, 01400, 03590, 03600, 03610, 03650, 03660"
"Flounder, Sand Dab (Windowpane) - Southern New England/Mid-Atlantic Bight",S,108,NMFS fall BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440, 03450, 03460"
"Flounder, Summer (Fluke)",Unit,103,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Flounder, Winter - Gulf of Maine",GOM,106,NMFS spring BTS,"01260, 01390, 01400, 03590, 03600, 03610, 03640, 03650, 03660"
"Flounder, Winter - Georges Bank",GB,106,NMFS spring BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230"
"Flounder, Winter - Southern New England/Mid-Atlantic Bight",SNEMA,106,NMFS spring BTS,"01010, 01020, 01050, 01060, 01090, 01100, 01250, 01690, 01700, 01730, 01740, 03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03450, 03460, 03560"
"Flounder, Witch (Gray Sole)",Unit,107,NMFS spring BTS,"01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Flounder, Yellowtail - Cape Cod/Gulf of Maine",CCGOM,105,NMFS spring BTS,"01250, 01260, 01270, 01390, 01400, 03560, 03570, 03590, 03600, 03610, 03620, 03640, 03650, 03660"
"Flounder, Yellowtail - Georges Bank",GB,105,NMFS spring BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210"
"Flounder, Yellowtail - Southern New England/Mid-Atlantic Bight",SNEMA,105,NMFS spring BTS,"01010, 01020, 01050, 01060, 01090, 01100, 01690, 01730, 01740"
Goosefish - Northern,N,197,NMFS spring BTS,"01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01350, 01351, 01360, 01370, 01380, 01390, 01400"
Goosefish - Southern,S,197,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
Haddock - Georges Bank,GB,74,NMFS spring BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01290, 01300"
Haddock - Gulf of Maine,GOM,74,NMFS spring BTS,"01260, 01270, 01280, 01360, 01370, 01380, 01390, 01400"
"Hake, Atlantic, Red - Northern",N,77,NMFS spring BTS,"01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
