YEAR,Var,Units,EPU,Source,SmallCalanoida,LargeCalanoida,TotalCopepodsMillions
1977,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,726186899.7,75579052.36,801.7659521
1978,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,660604929.2,92346842.63,752.9517719
1979,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,582923297.9,60119769.18,643.0430671
1980,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,739013209.5,130025762.6,869.0389721
1981,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,356698526.3,97263403.83,453.9619301
1982,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,385727581.4,125168859,510.8964404
1983,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,308062989.6,52358314.87,360.4213045
1984,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,355735935.2,78152517.07,433.8884523
1985,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,312835311.8,104207753.9,417.0430656
1986,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,260801834.2,69072181.6,329.8740158
1987,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,207285772.1,130796285.3,338.0820574
1988,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,753866634.1,154766202.4,908.6328365
1989,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,2110259314,111822070.9,2222.081385
1990,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,2467027216,145695218.8,2612.722435
1991,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,1621517438,90009940.55,1711.527378
1992,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,2002745935,645710478.5,2648.456414
1993,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,1263965071,398268566,1662.233637
1994,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,1307359867,1770170361,3077.530229
1995,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,476106560.4,1006222512,1482.329072
1996,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,1228556699,250391852.9,1478.948552
1997,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,1154465079,121058804.6,1275.523884
1998,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,1658967067,729681719.4,2388.648787
1999,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,694164479,104053459.9,798.217939
2000,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,877208456.3,124815305,1002.023761
2001,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,1139590884,147710896.4,1287.30178
2002,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,942055277.4,176351898.9,1118.407176
2003,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,845294810,257085293.5,1102.380104
2004,Zooplankton_Regional_Stratified_Abundance,Absolute Number of Individuals,MAB,NEFSC EcoMon Data,975268003.2,388679986.2,1363.947989
