"","x"
"GB_2000",2.80111748905166
"GB_2001",2.85668908368351
"GB_2002",2.80727943263494
"GB_2003",2.88172127529533
"GB_2004",2.82478511976997
"GB_2005",2.87164119353572
"GB_2006",2.85973864150053
"GB_2007",2.90975787336793
"GB_2008",2.8870763832281
"GB_2009",2.94721056613138
"GB_2010",2.81940170055357
"GB_2011",2.83315679315223
"GB_2012",2.59964366980061
"GB_2013",2.6676610842353
"GB_2014",2.5349761176683
"GB_2015",2.5481721747526
"GB_2016",2.49360354262957
"GB_2017",2.64989645112425
"GB_2018",2.55403333417319
"GB_2019",2.75515594821727
"GOM_2000",2.59724720709302
"GOM_2001",2.59672274509998
"GOM_2002",2.63166707958123
"GOM_2003",2.55131552225266
"GOM_2004",2.45878166089435
"GOM_2005",2.48413084298531
"GOM_2006",2.58638096261195
"GOM_2007",2.6489325418384
"GOM_2008",2.5664773476956
"GOM_2009",2.65997511645575
"GOM_2010",2.49449848944843
"GOM_2011",2.56152024091529
"GOM_2012",2.53759575412077
"GOM_2013",2.58373752151838
"GOM_2014",2.64661559758696
"GOM_2015",2.80926320726587
"GOM_2016",2.72568826755523
"GOM_2017",2.64712060133517
"GOM_2018",2.70700726594519
"GOM_2019",2.53675080470933
"MAB_2000",2.63853971030151
"MAB_2001",2.74489247162247
"MAB_2002",2.7176508751605
"MAB_2003",2.76060492910977
"MAB_2004",2.79155134370737
"MAB_2005",2.75746264187853
"MAB_2006",2.69928343307822
"MAB_2007",2.65082415210882
"MAB_2008",2.68434556960809
"MAB_2009",2.61302733085981
"MAB_2010",2.61108543039394
"MAB_2011",2.61310290214513
"MAB_2012",2.39457640670536
"MAB_2013",2.49360636746325
"MAB_2014",2.56139164694827
"MAB_2015",2.54528699220453
"MAB_2016",2.42447300997211
"MAB_2017",2.58845343084549
"MAB_2018",2.58196718698408
"MAB_2019",2.48359458417412
"SS_2000",2.7417389875079
"SS_2001",2.78462419806087
"SS_2002",2.74817013995489
"SS_2003",2.68023312179483
"SS_2004",2.64178785271034
"SS_2005",2.72630866329063
"SS_2006",2.7433347447574
"SS_2007",2.82661807525648
"SS_2008",2.91500400217032
"SS_2009",2.66847611909644
"SS_2010",2.69569280449453
"SS_2011",2.72707220213786
"SS_2012",2.55641735138328
"SS_2013",2.52043624907443
"SS_2014",2.60782720411267
"SS_2015",2.62031900473205
"SS_2016",2.53077616899479
"SS_2017",2.42081379553225
"SS_2018",2.40361003311505
"SS_2019",2.44457179244463
