SpeciesName,SVSPP,Season,Gender,N,ln_a,SEa,b,SEb,SE_estimate,r2
Sand tiger ,12,Autumn,Combined,15,?13.4887,1.0581,3.2927,0.1984,0.1169,0.9549
Chain dogfish,14,Win/Aut,Combined,80,?12.9053,0.2401,3.1282,0.0667,0.149,0.9658
Chain dogfish,14,Win/Aut,Male,55,?12.2155 ,0.3924,2.9322,0.1077,0.1498,0.9332
Chain dogfish,14,Win/Aut,Female,25,?13.5677 ,0.2266,3.3321,0.0645,0.1065,0.9915
Atlantic sharpnose shark,360,Autumn,Combined,101,?12.8361,0.2955,3.1069,0.0665,0.0801,0.9566
Smooth dogfish,13,Autumn,Combined,1679,?12.5532,0.0449,3.0006,0.0103,0.1108,0.9808
Smooth dogfish,13,Autumn,Male,872,?12.3265,0.0588,2.9436,0.0135,0.0974,0.9821
Smooth dogfish,13,Autumn,Female,807,?12.7087,0.0646,3.0415,0.0147,0.1179,0.9815
Smooth dogfish,13,Spring,Combined,508,?13.3913,0.1346,3.1641,0.0301,0.1307,0.9563
Smooth dogfish,13,Spring,Male,296,?13.1021,0.171,3.0918,0.0381,0.1135,0.9573
Smooth dogfish,13,Spring,Female,212,?13.7926,0.1921,3.2652,0.0431,0.1352,0.9647
Smooth dogfish,13,Winter,Combined,357,?13.7444,0.129,3.2538,0.029,0.1368,0.9726
Smooth dogfish,13,Winter,Male,158,?12.7517,0.1422,3.0164,0.0323,0.0943,0.9824
Smooth dogfish,13,Winter,Female,199,?14.1554,0.1754,3.3543,0.0391,0.141,0.974
Sandbar shark,9,Spr/Aut,Combined,34,?12.6740,0.2798,3.1706,0.062,0.1222,0.9879
Spiny dogfish,15,Autumn,Combined,6986,?12.6733,0.0256,3.0596,0.0061,0.122,0.9728
Spiny dogfish,15,Autumn,Male,3117,?12.3144,0.0378,2.9651,0.0091,0.1141,0.9716
Spiny dogfish,15,Autumn,Female,3869,?12.8210,0.0328,3.1012,0.0078,0.1194,0.9762
Spiny dogfish,15,Spring,Combined,12070,?13.2302,0.0211,3.1863,0.005,0.1376,0.9714
Spiny dogfish,15,Spring,Male,4676,?12.5455,0.0301,3.0075,0.0072,0.1196,0.9738
Spiny dogfish,15,Spring,Female,7393,?13.4073,0.0256,3.2369,0.006,0.1297,0.9751
Spiny dogfish,15,Winter,Combined,7534,?13.0195,0.0245,3.1231,0.0058,0.1266,0.9745
Spiny dogfish,15,Winter,Male,3691,?12.4979,0.0321,2.9871,0.0076,0.1049,0.9766
Spiny dogfish,15,Winter,Female,3843,?13.3403,0.0303,3.2108,0.0072,0.1211,0.9811
Atlantic angel shark,16,Autumn,Combined,17,?12.1783,0.2064,3.142,0.0485,0.0916,0.9964
Atlantic angel shark,16,Win/Spr,Combined,53,?11.5279,0.2434,2.9556,0.0605,0.1051,0.9791
Atlantic torpedo ray ,21,Autumn,Combined,7,?14.4803,2.1196,3.8164,0.479,0.1339,0.927
Clearnose  skate,24,Win/Spr/Aut,Combined,99,?13.8683,0.2567,3.4235,0.0638,0.1446,0.9674
